Index	Titulo	Ano	Duração	Classificação	Avaliação	Escolhido
105	Pacto de Sangue	1944	1h 47m	14	8.3	N
106	Nascido para Matar	1987	1h 56m	16	8.3	N
107	Scarface	1983	2h 50m	18	8.3	N
108	Laranja Mecânica19712h 16m(Banned)8.3Rate109. Incêndios	2010	2h 11m	14	8.3	N
110	Hamilton	2020	2h 40m	12	8.3	N
111	Fogo Contra Fogo	1995	2h 50m	14	8.3	N
112	Up: Altas Aventuras	2009	1h 36m	8	3.0	N
113	O Sol é para Todos	1962	2h 9m	12	8.3	N
114	Golpe de Mestre	1973	2h 9m	18	8.3	N
115	A Separação	2011	2h 3m	12	8.3	N
116	Indiana Jones e a Última Cruzada	1989	2h 7m	8	2.0	N
117	Metrópolis	1927	2h 33m	8	3.0	N
118	Duro de Matar	1988	2h 12m	14	8.2	N
119	Los Angeles: Cidade Proibida	1997	2h 18m	18	8.2	N
120	Ladrões de Bicicletas	1948	1h 29m	10	8.3	N
121	Snatch: Porcos e Diamantes	2000	1h 44m	16	8.2	N
122	Como Estrelas na Terra	2007	2h 45m	8	3.0	N
123	Taxi Driver: Motorista de Táxi	1976	1h 54m	14	8.2	N
124	1	9172	0191h 59m	14	8.2	N
125	A Queda! As Últimas Horas de Hitler	2004	2h 36m	16	8.2	N
126	Dangal	2016	2h 41m	10	8.3	N
127	Top Gun: Maverick	2022	2h 10m	12	8.3	N
128	Por uns Dólares a Mais	1965	2h 12m	12	8.2	N
129	Batman Begins	2005	2h 20m	10	8.2	N
130	Quanto Mais Quente Melhor	1959	2h 1m	8	2.0	N
131	O Garoto	1921	1h 8m	8	3.0	N
132	Meu Pai	2020	1h 37m	12	8.2	N
133	O Lobo de Wall Street20133h188.2Rate134. Green Book: O Guia	2018	2h 10m	12	8.2	N
135	A Malvada	1950	2h 18m	8	2.0	N
136	Julgamento em Nuremberg19612h 59mApproved8.3Rate137. O Show de Truman: O Show da Vida	1998	1h 43m	12	8.2	N
138	Ran	1985	2h 42m	16	8.2	N
139	Cassino	1995	2h 58m	18	8.2	N
140	Sangue Negro	2007	2h 38m	14	8.2	N
141	Ilha do Medo	2010	2h 18m	16	8.2	N
142	O Labirinto do Fauno	2006	1h 58m	16	8.2	N
143	Os Imperdoáveis	1992	2h 10m	12	8.2	N
144	O Sexto Sentido	1999	1h 47m	12	8.2	N
145	Jurassic Park	1993	2h 7m	8	2.0	N
146	Uma Mente Brilhante	2001	2h 15m	12	8.2	N
147	O Tesouro da Sierra Madre	1948	2h 6m	8	2.0	N
148	Yojimbo, o Guarda-Costas	1961	1h 50m	8	2.0	N
149	Onde os Fracos Não Têm Vez	2007	2h 2m	16	8.2	N
150	Monty Python em Busca do Cálice Sagrado	1975	1h 31m	8	2.0	N
151	Kill Bill: Volume 	1200	31h 51m	18	8.2	N
152	Fugindo do Inferno	1963	2h 52m	12	8.2	N
153	O Enigma de Outro Mundo	1982	1h 49m	14	8.2	N
154	Rashomon	1950	1h 28m	14	8.2	N
155	Procurando Nemo	2003	1h 40m	8	2.0	N
156	O Homem Elefante	1980	2h 4m	10	8.2	N
157	Chinatown	1974	2h 10m	12	8.2	N
158	Homem-Aranha: Sem Volta para Casa	2021	2h 28m	12	8.2	N
159	V de Vingança	2005	2h 12m	16	8.2	N
160	...E o Vento Levou	1939	3h 58m	8	2.0	N
161	Touro Indomável	1980	2h 9m	16	8.1	N
162	Disque M para Matar	1954	1h 45m	16	8.2	N
163	O Castelo Animado	2004	1h 59m	8	2.0	N
164	Jogos, Trapaças e Dois Canos Fumegantes	1998	1h 47m	18	8.1	N
165	O Segredo dos Seus Olhos	2009	2h 9m	16	8.2	N
166	Divertida Mente	2015	1h 35m	8	1.0	N
167	Os Suspeitos	2013	2h 33m	16	8.1	N
168	Três Anúncios para um Crime	2017	1h 55m	16	8.1	N
169	A Ponte do Rio Kwai	1957	2h 41m	12	8.1	N
170	Trainspotting: Sem Limites	1996	1h 33m	18	8.1	N
171	Fargo: Uma Comédia de Erros	1996	1h 38m	18	8.1	N
172	Guerreiro	2011	2h 20m	12	8.1	N
173	Gran Torino	2008	1h 56m	14	8.1	N
174	Prenda-me se for Capaz	2002	2h 21m	12	8.1	N
175	Meu Amigo Totoro	1988	1h 26m	8	1.0	N
176	Menina de Ouro	2004	2h 12m	12	8.1	N
177	Klaus	2019	1h 36m	10	8.2	N
178	Filhos do Paraíso	1997	1h 29m	8	2.0	N
179	Harry Potter e as Relíquias da Morte - Parte 	2201	12h 10m	14	8.1	N
180	Blade Runner: O Caçador de Androides	1982	1h 57m	14	8.1	N
181	12 Anos de Escravidão	2013	2h 14m	14	8.1	N
182	Em Busca do Ouro	1925	1h 35m	8	1.0	N
183	Antes do Amanhecer	1995	1h 41m	12	8.1	N
184	O Grande Hotel Budapeste	2014	1h 39m	14	8.1	N
185	Ben-Hur	1959	3h 32m	8	1.0	N
186	Garota Exemplar	2014	2h 29m	14	8.1	N
187	Sindicato de Ladrões	1954	1h 48m	14	8.1	N
188	Barry Lyndon	1975	3h 5m	8	1.0	N
189	Até o Último Homem	2016	2h 19m	16	8.1	N
190	Em Nome do Pai	1993	2h 13m	16	8.1	N
191	A General	1926	1h 18m	8	1.0	N
192	O Franco Atirador	1978	3h 3m	18	8.1	N
193	Morangos Silvestres	1957	1h 31m	10	8.1	N
194	Memórias de um Assassino	2003	2h 11m	14	8.1	N
195	O 3º Homem	1949	1h 44m	14	8.1	N
196	O Salário do Medo	1953	2h 11m	16	8.2	N
197	Bancando o Águia192445mPassed8.2Rate198. Relatos Selvagens	2014	2h 2m	14	8.1	N
199	Mad Max: Estrada da Fúria20152h168.1Rate200. A Mulher Faz o Homem	1939	2h 9m	8	1.0	N
201	Sociedade dos Poetas Mortos	1989	2h 8m	12	8.1	N
202	Monstros S.A.	2001	1h 32m	8	1.0	N
203	Como Treinar o Seu Dragão	2010	1h 38m	8	1.0	N
204	Mary e Max: Uma Amizade Diferente	2009	1h 32m	12	8.1	N
205	Tubarão	1975	2h 4m	14	8.1	N
206	O Sétimo Selo	1957	1h 36m	12	8.1	N
207	O Quarto de Jack	2015	1h 58m	14	8.1	N
208	O Grande Lebowski	1998	1h 57m	14	8.1	N
